         TIME   TOTAL      TOTAL      TOTAL      TOTAL      TOTAL      TOTAL      FLUID      FLUID      FLUID      FLUID      FLUID      FLUID     
                FLOW IN    FLOW IN    FLOW IN    FLOW OUT   FLOW OUT   FLOW OUT   STORAGE    STORAGE    STORAGE    VOL BAL    VOL BAL    VOL BAL   
                TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE      
              
  1.500000E-01  1.824E-04  1.824E-04  1.216E-03 -3.760E-07 -3.760E-07 -2.507E-06  1.742E-03  1.742E-03  1.161E-02  1.610E-10  1.610E-10  1.073E-09
  3.750000E-01  4.582E-04  2.757E-04  1.225E-03 -9.401E-07 -5.641E-07 -2.507E-06  2.017E-03  2.752E-04  1.223E-03  4.276E-10  2.667E-10  1.185E-09
  7.125000E-01  8.833E-04  4.251E-04  1.260E-03 -1.786E-06 -8.461E-07 -2.507E-06  2.441E-03  4.243E-04  1.257E-03  1.289E-09  8.618E-10  2.553E-09
  1.218750E+00  1.520E-03  6.367E-04  1.258E-03 -3.055E-06 -1.269E-06 -2.507E-06  3.077E-03  6.354E-04  1.255E-03  1.721E-09  4.319E-10  8.532E-10
  1.978125E+00  2.219E-03  6.989E-04  9.203E-04 -4.959E-06 -1.904E-06 -2.507E-06  3.774E-03  6.970E-04  9.178E-04  2.362E-09  6.408E-10  8.439E-10
  3.117188E+00  3.039E-03  8.206E-04  7.204E-04 -7.815E-06 -2.856E-06 -2.507E-06  4.591E-03  8.177E-04  7.179E-04  2.548E-09  1.857E-10  1.630E-10
  4.825781E+00  4.047E-03  1.007E-03  5.896E-04 -1.210E-05 -4.283E-06 -2.507E-06  5.594E-03  1.003E-03  5.871E-04  2.475E-09 -7.322E-11 -4.286E-11
  7.388672E+00  5.265E-03  1.219E-03  4.754E-04 -1.852E-05 -6.425E-06 -2.507E-06  6.807E-03  1.212E-03  4.729E-04  2.434E-09 -4.030E-11 -1.572E-11
